Title,Author,Average Rating,Top 3 Genres,First Published
Salvager: A Military Science Fiction Adventure,Scott Moon,4.21 avg rating,"Science Fiction, Young Adult, Space Opera",2024
The Autobiography of Benjamin Franklin,Benjamin Franklin,3.86 avg rating,"Biography, History, Nonfiction",1791
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86 avg rating,"Fantasy, Young Adult, Fiction",2001
The Witch of Blackbird Pond,Elizabeth George Speare,4.02 avg rating,"Historical Fiction, Young Adult, Fiction",1958
A Room of One’s Own,Virginia Woolf,4.22 avg rating,"Classics, Nonfiction, Feminism",1929
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18 avg rating,"Fiction, Historical Fiction, Novels",2000
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15 avg rating,"Self Help, Nonfiction, Spirituality",1997
The Prince of Tides,Pat Conroy,4.26 avg rating,"Fiction, Classics, Romance",1986
The Merchant of Venice,William Shakespeare,3.78 avg rating,"Classics, Plays, Fiction",1596
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,4.08 avg rating,"Short Stories, Fiction, Horror",1892
"A Dead and Stormy Night (Nevermore Bookshop Mysteries, #1)",Steffanie Holmes,3.90 avg rating,"Fantasy, Romance, Reverse Harem",2019
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49 avg rating,"Young Adult, Fiction, Fantasy",2010
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.35 avg rating,"Nonfiction, History, Science",2011
The Witches,Roald Dahl,4.18 avg rating,"Fantasy, Childrens, Fiction",1981
Hello Beautiful,Ann Napolitano,4.14 avg rating,"Fiction, Historical Fiction, Audiobook",2023
Lady Chatterley’s Lover,D.H. Lawrence,3.50 avg rating,"Fiction, Romance, Classics",1928
Infidel,Ayaan Hirsi Ali,4.20 avg rating,"Nonfiction, Memoir, Biography",2006
Midnight in the Garden of Good and Evil,John Berendt,3.92 avg rating,"Nonfiction, True Crime, Mystery",1994
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19 avg rating,"Fantasy, Fiction, Epic Fantasy",1990
"On Her Watch (Bree Taggert, #8)",Melinda Leigh,4.51 avg rating,"Mystery, Fiction, Crime",2024
Like Water for Chocolate,Laura Esquivel,3.95 avg rating,"Fiction, Magical Realism, Romance",1989
Ivanhoe,Walter Scott,3.76 avg rating,"Classics, Fiction, Historical Fiction",1819
To the Lighthouse,Virginia Woolf,3.80 avg rating,"Classics, Fiction, Literature",1927
Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99 avg rating,"Nonfiction, Psychology, Biography",1973
The Memory Keeper's Daughter,Kim Edwards,3.70 avg rating,"Fiction, Contemporary, Historical Fiction",2005
The BFG,Roald Dahl,4.23 avg rating,"Fantasy, Childrens, Fiction",1982
"Amelia Bedelia  (Amelia Bedelia, #1)",Peggy Parish,4.19 avg rating,"Childrens, Picture Books, Fiction",1963
صالة أورفانيللي,أشرف العشماوي,4.13 avg rating,"Fiction, Novels, Audiobook",2021
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.01 avg rating,"Nonfiction, Business, Psychology",2002
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.96 avg rating,"Nonfiction, Religion, Philosophy",2007
Cold Mountain,Charles Frazier,3.89 avg rating,"Historical Fiction, Fiction, Historical",1997
Marked by Magic (Tracking Trouble #1),Lindsay Buroker,4.32 avg rating,"Fantasy, Urban Fantasy, Magic",2023
We Need to Talk About Kevin,Lionel Shriver,4.08 avg rating,"Fiction, Thriller, Contemporary",2003
On the Beach,Nevil Shute,3.97 avg rating,"Fiction, Science Fiction, Classics",1957
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.20 avg rating,"Picture Books, Childrens, Humor",1992
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25 avg rating,"Horror, Fiction, Thriller",1988
"The Mercy of Gods (The Captive’s War, #1)",James S.A. Corey,4.18 avg rating,"Science Fiction, Fiction, Space Opera",2024
To Live and Drink in L.A.,Ben Peller,3.98 avg rating,"Memoir, Coming Of Age, Own",2011
"Lucky Son of a Gun (Demon Accords, #19)",John Conroe,4.46 avg rating,"Epic Fantasy, Science Fiction Fantasy, Fantasy",2023
"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.33 avg rating,"Historical Fiction, Fiction, Civil War",1974
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,4.10 avg rating,"Fiction, Young Adult, Classics",1959
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,4.34 avg rating,"Fantasy, Fiction, Humor",1989
The Warm Hands of Ghosts,Katherine Arden,3.99 avg rating,"Historical Fiction, Fantasy, Fiction",2024
Wild Swans: Three Daughters of China,Jung Chang,4.29 avg rating,"Nonfiction, History, China",1991
"The Art of Avoiding Your Alpha (Wildwood, #2)",Lola Glass,3.92 avg rating,"Fantasy, Science Fiction Fantasy, Novels",2024
"Code Yellow in Gretna Green (Midlife Recorder, #5)",Linzi Day,4.62 avg rating,"Fantasy, Science Fiction Fantasy, Magic",2024
House of Vampires and Flame (Shades of Ruin and Magic #1),Meg Xuemei X,4.13 avg rating,"Fantasy, Vampires, Magic",2023
"The Archon of Peace (Sovereign, #1)",Juddy Anderson C. Punzalan,4.59 avg rating,"Fantasy, High Fantasy, Mythology",2020
"The Art of Avoiding Your Werewolf (Wildwood, #1)",Lola Glass,3.87 avg rating,"Fantasy, Romance, Paranormal",2024
Franny and Zooey,J.D. Salinger,3.96 avg rating,"Fiction, Short Stories, Literature",1957
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30 avg rating,"Mystery, Fiction, Short Stories",1892
Victor's Blessing,Barbara Sontheimer,4.34 avg rating,"Novels, Fiction, Historical",2022
"Heretical Fishing (Heretical Fishing, #1)",Haylock Jobson,4.33 avg rating,"Fantasy, Fiction, Science Fiction Fantasy",2024
The Wasp Factory,Iain Banks,3.76 avg rating,"Fiction, Horror, Thriller",1984
The Silmarillion,J.R.R. Tolkien,4.02 avg rating,"Fantasy, Fiction, High Fantasy",1977
Guess How Much I Love You,Sam McBratney,4.39 avg rating,"Picture Books, Childrens, Fiction",1988
"World Without End (Kingsbridge, #2)",Ken Follett,4.32 avg rating,"Historical Fiction, Fiction, Historical",2007
"A Cursed Son (Remnants of the Fallen Kingdom, #1)",Day Leitao,4.02 avg rating,"Fantasy, Romantasy, Romance",2024
Saint Richard Parker,Merlin Franco,4.31 avg rating,"Humor, Contemporary, Comedy",2023
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09 avg rating,"Historical Fiction, Fiction, Historical",2001
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55 avg rating,"Fantasy, Fiction, Epic Fantasy",2000
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.17 avg rating,"Science Fiction, Fiction, Classics",1968
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,4.24 avg rating,"Picture Books, Childrens, Fiction",1972
"The Lies of Vampires and Slayers (Magic on Main Street, #1)",K.M. Shea,4.37 avg rating,"Fantasy, Urban Fantasy, Vampires",2023
Zodiac Explained: Understanding the Innate Motives Behind Our Actions,Alb Imeri,4.60 avg rating,"Astrology, True Crime, Nonfiction",2020
On Writing: A Memoir of the Craft,Stephen        King,4.34 avg rating,"Nonfiction, Writing, Memoir",2000
The Aeneid,Virgil,3.87 avg rating,"Poetry, Fiction, Mythology",Unknown
"God Is the Cure, Love Is the Answer: A Memoir",Aimee Cabo Nikolov,4.30 avg rating,"Nonfiction, Contemporary, True Story",2018
"Accidental Mystic (Midlife Melody, #1)",Phoebe Ravencraft,4.20 avg rating,"Science Fiction Fantasy, Magic, Fantasy",2021
"The Eden Paradox (Eden Paradox, #1)",Barry Kirwan,4.22 avg rating,"Science Fiction, Fiction, Space Opera",2011
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15 avg rating,"Fiction, Philosophy, Spirituality",1977
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06 avg rating,"True Crime, Nonfiction, Crime",1974
Thus Spoke Zarathustra,Friedrich Nietzsche,4.07 avg rating,"Philosophy, Classics, Nonfiction",1883
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92 avg rating,"Fantasy, Young Adult, Fiction",2011
Everything is Illuminated,Jonathan Safran Foer,3.89 avg rating,"Fiction, Historical Fiction, Contemporary",2002
The Satanic Verses,Salman Rushdie,3.71 avg rating,"Fiction, Classics, Magical Realism",1988
"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.64 avg rating,"Fantasy, Fiction, Book details & editions",2021
"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",Anne  Michaud,4.29 avg rating,"Nonfiction, Politics, History",2021
Meditations,Marcus Aurelius,4.28 avg rating,"Philosophy, Nonfiction, History",Unknown
Cyrano de Bergerac,Edmond Rostand,4.06 avg rating,"Plays, Fiction, Drama",1897
The White Tiger,Aravind Adiga,3.77 avg rating,"Fiction, India, Contemporary",2008
Snow Falling on Cedars,David Guterson,3.86 avg rating,"Fiction, Historical Fiction, Mystery",1994
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.08 avg rating,"Nonfiction, Psychology, Self Help",2012
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05 avg rating,"Young Adult, Dystopia, Science Fiction",2009
Doctor Zhivago,Boris Pasternak,4.01 avg rating,"Fiction, Historical Fiction, Russia",1957
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,really liked it 4.00 avg rating,"Self Help, Nonfiction, Psychology",1997
Bel Canto,Ann Patchett,3.94 avg rating,"Fiction, Contemporary, Literary Fiction",2001
Survival in Auschwitz,Primo Levi,4.34 avg rating,"Nonfiction, History, Holocaust",1947
The English Patient,Michael Ondaatje,3.86 avg rating,"Fiction, Historical Fiction, Classics",1992
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25 avg rating,"Nonfiction, Adventure, Memoir",1997
The Lottery and Other Stories,Shirley Jackson,4.02 avg rating,"Short Stories, Horror, Fiction",1949
Isabella Warrior Queen,Michael G. Kramer,4.30 avg rating,"History, Nonfiction, Biography",2023
The Federalist Papers,Alexander Hamilton,4.10 avg rating,"History, Politics, Nonfiction",1788
Midnight’s Children,Salman Rushdie,3.98 avg rating,"Fiction, Magical Realism, Classics",1981
The Wrong Daughter,Dandy Smith,4.03 avg rating,"Thriller, Mystery, Fiction",2024
Silas Marner,George Eliot,3.69 avg rating,"Classics, Fiction, Literature",1861
Pet Sematary,Stephen        King,4.08 avg rating,"Horror, Fiction, Thriller",1983
House of Leaves,Mark Z. Danielewski,4.09 avg rating,"Horror, Fiction, Fantasy",2000
The Erkeley Shadows,Michael Wyndham Thomas,4.31 avg rating,"Thriller, Novels, Fiction",2023
"Death Leaves a Shadow (Marlowe Black Mystery, #2)",Gabriel F.W. Koch,4.30 avg rating,"Novels, Fiction, Drama",2020
The House on Mango Street,Sandra Cisneros,3.69 avg rating,"Fiction, Classics, Young Adult",1984
Journey to the Center of the Earth,Jules Verne,3.85 avg rating,"Classics, Science Fiction, Fiction",1864
Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,William Shakespeare,4.42 avg rating,"Classics, Plays, Fiction",1606
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05 avg rating,"Fantasy, Young Adult, Paranormal",2012
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.30 avg rating,"Fantasy, Mythology, Young Adult",2010
The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89 avg rating,"Fiction, Magical Realism, Literary Fiction",2007
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96 avg rating,"Nonfiction, Psychology, Business",2005
Requiem for a Dream,Hubert Selby Jr.,4.11 avg rating,"Fiction, Classics, Thriller",1978
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.04 avg rating,"Fantasy, Fiction, Young Adult",2008
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23 avg rating,"Science Fiction, Fiction, Young Adult",2011
Dandelion Wine,Ray Bradbury,4.09 avg rating,"Fiction, Classics, Science Fiction",1957
گم شده ای در مه,سید مرتضی مصطفوی,3.81 avg rating,"Fiction, Philosophy, Spirituality",2017
The Scarlet Pimpernel,Emmuska Orczy,4.07 avg rating,"Classics, Historical Fiction, Fiction",1905
The Historian,Elizabeth Kostova,3.80 avg rating,"Fiction, Historical Fiction, Fantasy",2005
"Passions in Death (In Death, #59)",J.D. Robb,4.30 avg rating,"Mystery, Crime, Romance",2024
The Complete Stories and Poems,Edgar Allan Poe,4.40 avg rating,"Classics, Poetry, Horror",1849
"Worm Holes (Quantum Roots, #2)",Kyle Keyes,4.34 avg rating,"Fiction, Young Adult, Adventure",2017
The V Girl: A Coming of Age Story,Mya Robarts,3.97 avg rating,"Romance, Coming Of Age, Young Adult",2015
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.08 avg rating,"Psychology, Nonfiction, Self Help",1978
Hiroshima,John Hersey,4.04 avg rating,"History, Nonfiction, War",1946
"Book of Night (Book of Night, #1)",Holly Black,3.54 avg rating,"Fantasy, Urban Fantasy, Fiction",2022
Shakespeare's Sonnets,William Shakespeare,4.25 avg rating,"Poetry, Classics, Fiction",1609
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98 avg rating,"Fantasy, Fiction, Classics",1951
"Angel of Vengeance (Pendergast, #22)",Douglas Preston,4.31 avg rating,"Thriller, Mystery, Fiction",2024
"Echo Road (Mercy Kilpatrick, #9; Bree Taggert, #9)",Kendra Elliot,4.54 avg rating,"Mystery, Thriller, Fiction",2024
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar,4.30 avg rating,"Contemporary, Poetry, Fiction",2018
The Goldfinch,Donna Tartt,3.96 avg rating,"Fiction, Contemporary, Literary Fiction",2013
Carrie,Stephen        King,3.99 avg rating,"Horror, Fiction, Thriller",1974
Dogs vs Bears,Austin    Davis,4.31 avg rating,"Novels, Fiction, Adventure",2024
"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.72 avg rating,"Fiction, Spirituality, Philosophy",1993
The Mayor of Maxwell Street,Avery Cunningham,3.55 avg rating,"Historical Fiction, Fiction, Romance",2024
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,4.22 avg rating,"Finance, Nonfiction, Self Help",1994
"People in Glass Houses (Ghost Hunters, #16)",Jayne Castle,4.40 avg rating,"Fantasy, Romance, Science Fiction Fantasy",2024
The Second Sex,Simone de Beauvoir,4.18 avg rating,"Feminism, Nonfiction, Philosophy",1949
A Streetcar Named Desire,Tennessee Williams,3.98 avg rating,"Plays, Classics, Fiction",1947
"Perron Manor (Haunted, #1)",Lee Mountford,4.11 avg rating,"Horror, Paranormal, Thriller",2020
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91 avg rating,"Fantasy, Fiction, Young Adult",1954
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.39 avg rating,"Graphic Novels, Comics, History",1986
The French Lieutenant’s Woman,John Fowles,3.88 avg rating,"Fiction, Classics, Historical Fiction",1969
"Foundation (Foundation, #1)",Isaac Asimov,4.17 avg rating,"Science Fiction, Fiction, Science Fiction Fantasy",1951
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15 avg rating,"Fantasy, Young Adult, Fiction",1997
All the Murmuring Bones,A.G. Slatter,3.92 avg rating,"Fantasy, Horror, Gothic",2021
Invisible Monsters,Chuck Palahniuk,really liked it 4.00 avg rating,"Fiction, Contemporary, Thriller",1999
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.91 avg rating,"Nonfiction, Christian, Religion",2003
A Room with a View,E.M. Forster,3.90 avg rating,"Classics, Fiction, Romance",1908
"Fair Market Value (The Body Shop, #1)",Hailey Edwards,4.36 avg rating,"Fantasy, Urban Fantasy, Science Fiction Fantasy",2024
"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4.29 avg rating,"Fantasy, Romance, Romantasy",2022
The Hollow Places,T. Kingfisher,3.79 avg rating,"Horror, Fantasy, Fiction",2020
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26 avg rating,"Fiction, Contemporary, Chick Lit",2012
Redeeming Love,Francine  Rivers,4.51 avg rating,"Romance, Christian, Christian Fiction",1991
The Ball at Versailles,Danielle Steel,4.04 avg rating,"Romance, Historical Fiction, Fiction",2023
"The Watchers (The Watchers, #1)",A.M. Shine,3.90 avg rating,"Horror, Fantasy, Fiction",2021
Hart's Ridge (Hart's Ridge #1),Kay Bratt,4.38 avg rating,"Mystery, Crime, Fiction",2022
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.97 avg rating,"History, Nonfiction, Education",1995
Factotum,Charles Bukowski,3.92 avg rating,"Fiction, Classics, Novels",1975
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35 avg rating,"Nonfiction, Memoir, Animals",1972
The Salt Grows Heavy,Cassandra Khaw,3.56 avg rating,"Horror, Fantasy, Fiction",2023
"The Reaping (Steinbeck and Reed, #2)",Jess Lourey,4.12 avg rating,"Thriller, Mystery, Crime",2024
The Last Thing She Ever Did,Gregg Olsen,4.04 avg rating,"Mystery, Thriller, Fiction",2018
Peace Like a River,Leif Enger,4.02 avg rating,"Fiction, Historical Fiction, Book Club",2001
Morsels,Abe Moss,3.72 avg rating,"Horror, Thriller, Paranormal",2024
The Agony and the Ecstasy,Irving Stone,4.09 avg rating,"Historical Fiction, Fiction, Art",1958
"A MAN WHO SEEMED REAL: a story of love, lies, fear and kindness",Elizabeth Tebby Germaine,4.43 avg rating,"Drama, Novels, Contemporary",2023
"Glow (The Plated Prisoner, #4)",Raven Kennedy,4.14 avg rating,"Romance, Romantasy, Fantasy Romance",2022
I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.,4.50 avg rating,"Nonfiction, History, Classics",1987
The Horse Whisperer,Nicholas Evans,3.85 avg rating,"Fiction, Romance, Animals",1995
"Dangerous Play (Kate Green, #2)",Elise Hart Kipness,4.26 avg rating,"Fiction, Suspense, Mystery",2024
Far From the Madding Crowd,Thomas Hardy,3.97 avg rating,"Classics, Fiction, Romance",1874
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.87 avg rating,"Nonfiction, Writing, Language",2003
Cackle,Rachel   Harrison,3.72 avg rating,"Horror, Fantasy, Witches",2021
I Capture the Castle,Dodie Smith,3.99 avg rating,"Classics, Fiction, Young Adult",1948
Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,4.21 avg rating,"History, Nonfiction, Military Fiction",2014
Nineteen Steps,Millie Bobby Brown,3.75 avg rating,"Historical Fiction, Fiction, Romance",2023
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.95 avg rating,"Mystery, Fiction, Classics",1939
So Thirsty,Rachel   Harrison,3.52 avg rating,"Horror, Vampires, Fantasy",2024
Journey's Paradox (Journey Russo FBI Mystery #6),Mary Stone,4.53 avg rating,"Mystery, Mystery Thriller, Crime",2024
The Forgotten Palace,Alexandra Walsh,4.19 avg rating,"Historical Fiction, Fiction, Young Adult Romance",2023
Homo Cosmicus 2: Titan: A Science Fiction Novel,Todor Bombov,4.38 avg rating,"Drama, Novels, Contemporary",2022
Jitterbug Perfume,Tom Robbins,4.23 avg rating,"Fiction, Fantasy, Humor",1984
"Storm Front (The Dresden Files, #1)",Jim  Butcher,3.97 avg rating,"Fantasy, Urban Fantasy, Mystery",2000
Brainwalker,Robyn Mundell,4.31 avg rating,"Fantasy, Young Adult, Childrens",2016
"A Lady's Guide to Fortune-Hunting (A Lady's Guide, #1)",Sophie Irwin,3.92 avg rating,"Romance, Historical Fiction, Historical Romance",2022
A Storm of Infinite Beauty,Julianne MacLean,4.30 avg rating,"Fiction, Romance, Historical Fiction",2023
"Blood Orange (The Dracula Duet, #1)",Karina Halle,3.81 avg rating,"Fantasy, Vampires, Romance",2022
"Crowns of Ice (Fae of Snow & Ice, #4)",Krista Street,4.16 avg rating,"Fantasy, Magic, Science Fiction Fantasy",2023
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06 avg rating,"Fiction, Classics, Literature",1943
"Neuromancer (Sprawl, #1)",William Gibson,3.89 avg rating,"Science Fiction, Fiction, Cyberpunk",1984
Infinite Jest,David Foster Wallace,4.25 avg rating,"Fiction, Classics, Literature",1996
Exodus,Leon Uris,4.34 avg rating,"Historical Fiction, Fiction, Classics",1958
"The Alpha's Fated Encounter (Fated to Royalty, #1)",Roxie Ray,3.93 avg rating,"Fantasy, Paranormal, Novels",2022
"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.96 avg rating,"Dark Romance, Dark, Thriller",2021
Dark Horizon the Witching Hour (The Children of the Gods #82),I.T. Lucas,4.49 avg rating,"Fiction, Science Fiction Fantasy, High Fantasy",2024
Fated to the Wolf Prince (The Hunted Omegas #1),April L. Moon,3.99 avg rating,"Fantasy, Romance, Magic",2024
"Counter Identity (Remmich/Miller, #2)",Karl Braungart,4.31 avg rating,"Drama, Contemporary, Novels",2021
The Three Witches and The Master,Max Nowaz,4.30 avg rating,"Fiction, Novels, Adventure",2024
"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,4.42 avg rating,"Fantasy, Romance, Romantasy",2023
Death Be Not Proud,John Gunther,3.86 avg rating,"Nonfiction, Classics, Memoir",1949
"Falling Down (The Boy in the Iron Box, #1)",Guillermo del Toro,3.59 avg rating,"Horror, Short Stories, Fiction",2024
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85 avg rating,"Fiction, Horror, Young Adult",1979
The Butcher of the Forest,Premee Mohamed,3.89 avg rating,"Fantasy, Horror, Novella",2024
Black Like Me,John Howard Griffin,4.11 avg rating,"Nonfiction, History, Memoir",1961
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11 avg rating,"Fantasy, Young Adult, Vampires",2007
The Twisted Ones,T. Kingfisher,3.64 avg rating,"Horror, Fantasy, Fiction",2019
’Salem’s Lot,Stephen        King,4.10 avg rating,"Horror, Fiction, Vampires",1975
"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.92 avg rating,"Fantasy, Fiction, Horror",1982
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02 avg rating,"Fiction, Fantasy, Young Adult",1999
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.04 avg rating,"Fantasy, Young Adult, Fiction",2005
The Age of Innocence,Edith Wharton,3.97 avg rating,"Classics, Fiction, Historical Fiction",1920
Brisingr (The Inheritance Cycle #3),Christopher Paolini,4.10 avg rating,"Fantasy, Young Adult, Fiction",2008
"Stripped Bare (Kate Fox, #1)",Shannon  Baker,4.04 avg rating,"Mystery, Thriller, Fiction",2016
Constant Companion: Your Practical Path to Real Interaction with God,Ami Loper,4.42 avg rating,"Contemporary, Novels, Drama",2024
The Invention of Hugo Cabret,Brian Selznick,4.22 avg rating,"Historical Fiction, Fiction, Young Adult",2007
The Seven Moons of Maali Almeida,Shehan Karunatilaka,3.91 avg rating,"Fiction, Historical Fiction, Fantasy",2022
Ethan Frome,Edith Wharton,3.45 avg rating,"Classics, Fiction, Romance",1911
Slewfoot: A Tale of Bewitchery,Brom,4.24 avg rating,"Horror, Fantasy, Historical Fiction",2021
Utopia,Thomas More,3.55 avg rating,"Classics, Philosophy, Fiction",1516
I'm Just Saying: A Guide to Maintaining Civil Discourse in an Increasingly Divided World,Milan Kordestani,4.26 avg rating,"Nonfiction, Communication, Self Help",2023
"Wicked Saints (Something Dark and Holy, #1)",Emily A. Duncan,3.56 avg rating,"Fantasy, Young Adult, Young Adult Fantasy",2019
The Shipping News,Annie Proulx,3.88 avg rating,"Fiction, Contemporary, Canada",1993
The Story of Ferdinand,Munro Leaf,4.37 avg rating,"Picture Books, Childrens, Classics",1936
"Twilight of Embers (Dragons of Ember Hollow, #1)",Tessa Hale,4.07 avg rating,"Fantasy, Reverse Harem, Dragons",2024
The Elegance of the Hedgehog,Muriel Barbery,3.80 avg rating,"Fiction, France, Philosophy",2006
"The Black Bird Oracle (All Souls, #5)",Deborah Harkness,4.08 avg rating,"Fantasy, Fiction, Witches",2024
Ankle Snatcher,Grady Hendrix,3.71 avg rating,"Horror, Short Stories, Audiobook",2023
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.06 avg rating,"Fiction, Thriller, Contemporary",2012
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.11 avg rating,"Fantasy, Young Adult, Romance",2008
Song of Solomon,Toni Morrison,4.15 avg rating,"Fiction, Classics, Historical Fiction",1977
Vanity Fair,William Makepeace Thackeray,3.81 avg rating,"Classics, Fiction, Historical Fiction",1847
Lunar Park,Bret Easton Ellis,3.65 avg rating,"Fiction, Horror, Thriller",2005
"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,4.20 avg rating,"Fantasy, Romance, Romantasy",2019
The Swimmer,Loreth Anne White,4.14 avg rating,"Thriller, Mystery, Mystery Thriller",2024
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95 avg rating,"Nonfiction, Business, Feminism",2013
"Descent (The Palladium Wars, #4)",Marko Kloos,4.32 avg rating,"Science Fiction, Space, Science Fiction Fantasy",2024
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.04 avg rating,"Romance, Chick Lit, Fiction",2004
Scavenger Hunt,Chad Boudreaux,4.30 avg rating,"Mystery, Thriller, Drama",2023
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.16 avg rating,"Nonfiction, Biography, Memoir",2012
Walks Away Woman,Ki Longfellow,4.37 avg rating,"Survival, Adventure, Fiction",2013
"Always Remember: Ben's Story (Ravenswood, #3)",Mary Balogh,4.15 avg rating,"Romance, Historical Romance, Historical",2024
The Waste Land,T.S. Eliot,4.11 avg rating,"Poetry, Classics, Fiction",1922
"Crossroads and the Himalayan Crystals (Crossroads, #1)",C. Toni Graham,4.33 avg rating,"Fantasy, Contemporary, Drama",2012
The Town the World Forgot (The Town That Shouldn't Exist #1),Boris Bacic,4.19 avg rating,"Horror, Thriller, Paranormal",2024
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.46 avg rating,"Young Adult, Fiction, Contemporary",2017
Misery,Stephen        King,4.23 avg rating,"Horror, Fiction, Thriller",1987
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55 avg rating,"Fantasy, Young Adult, Mythology",2009
Of Human Bondage,W. Somerset Maugham,4.15 avg rating,"Fiction, Classics, Literature",1915
Yildun: Worldmaker of Yand,Andri E. Elia,4.39 avg rating,"Contemporary, Drama, Novels",2022
An American Beauty,Shana Abe,4.14 avg rating,"Historical Fiction, Fiction, Romance",2023
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.94 avg rating,"Nonfiction, Biography, Memoir",1995
Last Tang Standing,Lauren  Ho,3.52 avg rating,"Romance, Fiction, Contemporary",2020
"Insurgent (Divergent, #2)",Veronica Roth,3.97 avg rating,"Young Adult, Dystopia, Fantasy",2012
