Title,Author,Average Rating,Top 3 Genres,First Published
The Time Traveler's Wife,Audrey Niffenegger,really liked it 4.00 avg rating,"Fiction, Romance, Fantasy",2003
Goodnight Moon,Margaret Wise Brown,4.32 avg rating,"Childrens, Picture Books, Fiction",1947
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43 avg rating,"Fantasy, Fiction, Young Adult",1998
War and Peace,Leo Tolstoy,4.16 avg rating,"Classics, Fiction, Historical Fiction",1869
A Tree Grows in Brooklyn,Betty  Smith,4.30 avg rating,"Fiction, Historical Fiction, Classics",1943
The Alchemist,Paulo Coelho,3.92 avg rating,"Fiction, Fantasy, Philosophy",1988
All Quiet on the Western Front,Erich Maria Remarque,4.09 avg rating,"Fiction, Historical Fiction, War",1928
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36 avg rating,"Classics, Historical Fiction, Childrens",1971
A Clockwork Orange,Anthony Burgess,really liked it 4.00 avg rating,"Fiction, Science Fiction, Dystopia",1962
The Stand,Stephen        King,4.35 avg rating,"Horror, Fiction, Fantasy",1978
Don Quixote,Miguel de Cervantes Saavedra,3.90 avg rating,"Fiction, Classics, Literature",1615
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91 avg rating,"Classics, Fiction, Historical Fiction",1852
القرآن الكريم,Anonymous,4.38 avg rating,"Nonfiction, Classics, Philosophy",Unknown
Atlas Shrugged,Ayn Rand,3.69 avg rating,"Fiction, Classics, Philosophy",1957
The Brothers Karamazov,Fyodor Dostoevsky,4.38 avg rating,"Fiction, Russia, Classics",1880
A Story of Yesterday,Sergio Cobo,4.54 avg rating,"Thriller, Mystery, Spanish Literature",2014
Brave New World,Aldous Huxley,3.99 avg rating,"Fiction, Science Fiction, Dystopia",1932
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.30 avg rating,"Nonfiction, Classics, Memoir",1969
"Moby-Dick or, The Whale",Herman Melville,3.56 avg rating,"Fiction, Literature, Adventure",1851
The Poisonwood Bible,Barbara Kingsolver,4.10 avg rating,"Fiction, Historical Fiction, Africa",1998
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.24 avg rating,"Religion, Nonfiction, Lds",1830
"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93 avg rating,"Fiction, Mystery, Thriller",2003
Great Expectations,Charles Dickens,3.80 avg rating,"Classics, Fiction, Literature",1861
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47 avg rating,"Nonfiction, Biography, History",1971
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01 avg rating,"Fiction, Historical Fiction, China",1931
Dracula,Bram Stoker,4.02 avg rating,"Horror, Fiction, Fantasy",1897
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98 avg rating,"Fantasy, Fiction, Classics",1962
The Fault in Our Stars,John Green,4.13 avg rating,"Young Adult, Fiction, Contemporary",2012
Matilda,Roald Dahl,4.33 avg rating,"Fiction, Childrens, Classics",1988
The Perks of Being a Wallflower,Stephen Chbosky,4.23 avg rating,"Young Adult, Fiction, Classics",1999
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,4.17 avg rating,"Fiction, Mystery, Thriller",2005
The Elephant Tree,R.D. Ronald,3.78 avg rating,"Thriller, Mystery, Fiction",2010
Sense and Sensibility,Jane Austen,4.09 avg rating,"Fiction, Historical Fiction, Literature",1811
The Princess Bride,William Goldman,4.27 avg rating,"Fantasy, Fiction, Romance",1973
