,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
538,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,2001.0,"Fantasy, Young Adult, Fiction",2
539,The Witch of Blackbird Pond,Elizabeth George Speare,4.02,1958.0,"Historical Fiction, Young Adult, Fiction",2
540,A Room of One’s Own,Virginia Woolf,4.22,1929.0,"Classics, Nonfiction, Feminism",2
541,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,2000.0,"Fiction, Historical Fiction, Novels",2
542,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15,1997.0,"Self Help, Nonfiction, Spirituality",2
543,The Prince of Tides,Pat Conroy,4.26,1986.0,"Fiction, Classics, Romance",2
544,The Merchant of Venice,William Shakespeare,3.78,1596.0,"Classics, Plays, Fiction",2
545,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,4.08,1892.0,"Short Stories, Fiction, Horror",2
546,"A Dead and Stormy Night (Nevermore Bookshop Mysteries, #1)",Steffanie Holmes,3.9,2019.0,"Fantasy, Romance, Reverse Harem",2
547,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49,2010.0,"Young Adult, Fiction, Fantasy",2
548,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.35,2011.0,"Nonfiction, History, Science",0
549,The Witches,Roald Dahl,4.18,1981.0,"Fantasy, Childrens, Fiction",2
550,Hello Beautiful,Ann Napolitano,4.14,2023.0,"Fiction, Historical Fiction, Audiobook",2
551,Lady Chatterley’s Lover,D.H. Lawrence,3.5,1928.0,"Fiction, Romance, Classics",2
552,Infidel,Ayaan Hirsi Ali,4.2,2006.0,"Nonfiction, Memoir, Biography",0
553,Midnight in the Garden of Good and Evil,John Berendt,3.92,1994.0,"Nonfiction, True Crime, Mystery",2
554,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19,1990.0,"Fantasy, Fiction, Epic Fantasy",2
555,"On Her Watch (Bree Taggert, #8)",Melinda Leigh,4.51,2024.0,"Mystery, Fiction, Crime",2
556,Like Water for Chocolate,Laura Esquivel,3.95,1989.0,"Fiction, Magical Realism, Romance",2
557,Ivanhoe,Walter Scott,3.76,1819.0,"Classics, Fiction, Historical Fiction",2
558,To the Lighthouse,Virginia Woolf,3.8,1927.0,"Classics, Fiction, Literature",2
559,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,3.99,1973.0,"Nonfiction, Psychology, Biography",0
560,The Memory Keeper's Daughter,Kim Edwards,3.7,2005.0,"Fiction, Contemporary, Historical Fiction",2
561,The BFG,Roald Dahl,4.23,1982.0,"Fantasy, Childrens, Fiction",2
562,"Amelia Bedelia  (Amelia Bedelia, #1)",Peggy Parish,4.19,1963.0,"Childrens, Picture Books, Fiction",2
563,صالة أورفانيللي,أشرف العشماوي,4.13,2021.0,"Fiction, Novels, Audiobook",2
564,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.01,2002.0,"Nonfiction, Business, Psychology",2
565,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.96,2007.0,"Nonfiction, Religion, Philosophy",2
566,Cold Mountain,Charles Frazier,3.89,1997.0,"Historical Fiction, Fiction, Historical",2
567,Marked by Magic (Tracking Trouble #1),Lindsay Buroker,4.32,2023.0,"Fantasy, Urban Fantasy, Magic",2
568,We Need to Talk About Kevin,Lionel Shriver,4.08,2003.0,"Fiction, Thriller, Contemporary",2
569,On the Beach,Nevil Shute,3.97,1957.0,"Fiction, Science Fiction, Classics",2
570,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.2,1992.0,"Picture Books, Childrens, Humor",2
571,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25,1988.0,"Horror, Fiction, Thriller",2
572,"The Mercy of Gods (The Captive’s War, #1)",James S.A. Corey,4.18,2024.0,"Science Fiction, Fiction, Space Opera",2
573,To Live and Drink in L.A.,Ben Peller,3.98,2011.0,"Memoir, Coming Of Age, Own",2
574,"Lucky Son of a Gun (Demon Accords, #19)",John Conroe,4.46,2023.0,"Epic Fantasy, Science Fiction Fantasy, Fantasy",2
575,"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.33,1974.0,"Historical Fiction, Fiction, Civil War",2
576,"My Side of the Mountain (Mountain, #1)",Jean Craighead George,4.1,1959.0,"Fiction, Young Adult, Classics",2
577,"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,4.34,1989.0,"Fantasy, Fiction, Humor",2
578,The Warm Hands of Ghosts,Katherine Arden,3.99,2024.0,"Historical Fiction, Fantasy, Fiction",2
579,Wild Swans: Three Daughters of China,Jung Chang,4.29,1991.0,"Nonfiction, History, China",0
580,"The Art of Avoiding Your Alpha (Wildwood, #2)",Lola Glass,3.92,2024.0,"Fantasy, Science Fiction Fantasy, Novels",2
581,"Code Yellow in Gretna Green (Midlife Recorder, #5)",Linzi Day,4.62,2024.0,"Fantasy, Science Fiction Fantasy, Magic",2
582,House of Vampires and Flame (Shades of Ruin and Magic #1),Meg Xuemei X,4.13,2023.0,"Fantasy, Vampires, Magic",2
583,"The Archon of Peace (Sovereign, #1)",Juddy Anderson C. Punzalan,4.59,2020.0,"Fantasy, High Fantasy, Mythology",2
584,"The Art of Avoiding Your Werewolf (Wildwood, #1)",Lola Glass,3.87,2024.0,"Fantasy, Romance, Paranormal",2
585,Franny and Zooey,J.D. Salinger,3.96,1957.0,"Fiction, Short Stories, Literature",2
586,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,1892.0,"Mystery, Fiction, Short Stories",2
587,Victor's Blessing,Barbara Sontheimer,4.34,2022.0,"Novels, Fiction, Historical",2
588,"Heretical Fishing (Heretical Fishing, #1)",Haylock Jobson,4.33,2024.0,"Fantasy, Fiction, Science Fiction Fantasy",2
589,The Wasp Factory,Iain Banks,3.76,1984.0,"Fiction, Horror, Thriller",2
590,The Silmarillion,J.R.R. Tolkien,4.02,1977.0,"Fantasy, Fiction, High Fantasy",2
591,Guess How Much I Love You,Sam McBratney,4.39,1988.0,"Picture Books, Childrens, Fiction",2
592,"World Without End (Kingsbridge, #2)",Ken Follett,4.32,2007.0,"Historical Fiction, Fiction, Historical",2
593,"A Cursed Son (Remnants of the Fallen Kingdom, #1)",Day Leitao,4.02,2024.0,"Fantasy, Romantasy, Romance",2
594,Saint Richard Parker,Merlin Franco,4.31,2023.0,"Humor, Contemporary, Comedy",2
595,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,2001.0,"Historical Fiction, Fiction, Historical",2
596,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,2000.0,"Fantasy, Fiction, Epic Fantasy",2
597,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.17,1968.0,"Science Fiction, Fiction, Classics",2
598,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,4.24,1972.0,"Picture Books, Childrens, Fiction",2
599,"The Lies of Vampires and Slayers (Magic on Main Street, #1)",K.M. Shea,4.37,2023.0,"Fantasy, Urban Fantasy, Vampires",2
600,Zodiac Explained: Understanding the Innate Motives Behind Our Actions,Alb Imeri,4.6,2020.0,"Astrology, True Crime, Nonfiction",2
601,On Writing: A Memoir of the Craft,Stephen        King,4.34,2000.0,"Nonfiction, Writing, Memoir",0
603,"God Is the Cure, Love Is the Answer: A Memoir",Aimee Cabo Nikolov,4.3,2018.0,"Nonfiction, Contemporary, True Story",2
604,"Accidental Mystic (Midlife Melody, #1)",Phoebe Ravencraft,4.2,2021.0,"Science Fiction Fantasy, Magic, Fantasy",2
605,"The Eden Paradox (Eden Paradox, #1)",Barry Kirwan,4.22,2011.0,"Science Fiction, Fiction, Space Opera",2
606,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15,1977.0,"Fiction, Philosophy, Spirituality",2
607,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.06,1974.0,"True Crime, Nonfiction, Crime",2
608,Thus Spoke Zarathustra,Friedrich Nietzsche,4.07,1883.0,"Philosophy, Classics, Nonfiction",2
609,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,2011.0,"Fantasy, Young Adult, Fiction",2
610,Everything is Illuminated,Jonathan Safran Foer,3.89,2002.0,"Fiction, Historical Fiction, Contemporary",2
611,The Satanic Verses,Salman Rushdie,3.71,1988.0,"Fiction, Classics, Magical Realism",2
612,"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.64,2021.0,"Fantasy, Fiction, Book details & editions",2
613,"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives",Anne  Michaud,4.29,2021.0,"Nonfiction, Politics, History",0
615,Cyrano de Bergerac,Edmond Rostand,4.06,1897.0,"Plays, Fiction, Drama",2
616,The White Tiger,Aravind Adiga,3.77,2008.0,"Fiction, India, Contemporary",2
617,Snow Falling on Cedars,David Guterson,3.86,1994.0,"Fiction, Historical Fiction, Mystery",2
618,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.08,2012.0,"Nonfiction, Psychology, Self Help",2
619,"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,2009.0,"Young Adult, Dystopia, Science Fiction",2
620,Doctor Zhivago,Boris Pasternak,4.01,1957.0,"Fiction, Historical Fiction, Russia",2
621,Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,4.0,1997.0,"Self Help, Nonfiction, Psychology",2
622,Bel Canto,Ann Patchett,3.94,2001.0,"Fiction, Contemporary, Literary Fiction",2
623,Survival in Auschwitz,Primo Levi,4.34,1947.0,"Nonfiction, History, Holocaust",0
624,The English Patient,Michael Ondaatje,3.86,1992.0,"Fiction, Historical Fiction, Classics",2
625,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25,1997.0,"Nonfiction, Adventure, Memoir",0
626,The Lottery and Other Stories,Shirley Jackson,4.02,1949.0,"Short Stories, Horror, Fiction",2
627,Isabella Warrior Queen,Michael G. Kramer,4.3,2023.0,"History, Nonfiction, Biography",0
628,The Federalist Papers,Alexander Hamilton,4.1,1788.0,"History, Politics, Nonfiction",0
629,Midnight’s Children,Salman Rushdie,3.98,1981.0,"Fiction, Magical Realism, Classics",2
630,The Wrong Daughter,Dandy Smith,4.03,2024.0,"Thriller, Mystery, Fiction",2
631,Silas Marner,George Eliot,3.69,1861.0,"Classics, Fiction, Literature",2
632,Pet Sematary,Stephen        King,4.08,1983.0,"Horror, Fiction, Thriller",2
633,House of Leaves,Mark Z. Danielewski,4.09,2000.0,"Horror, Fiction, Fantasy",2
634,The Erkeley Shadows,Michael Wyndham Thomas,4.31,2023.0,"Thriller, Novels, Fiction",2
635,"Death Leaves a Shadow (Marlowe Black Mystery, #2)",Gabriel F.W. Koch,4.3,2020.0,"Novels, Fiction, Drama",2
636,The House on Mango Street,Sandra Cisneros,3.69,1984.0,"Fiction, Classics, Young Adult",2
637,Journey to the Center of the Earth,Jules Verne,3.85,1864.0,"Classics, Science Fiction, Fiction",2
638,Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth,William Shakespeare,4.42,1606.0,"Classics, Plays, Fiction",2
639,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,2012.0,"Fantasy, Young Adult, Paranormal",2
640,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.3,2010.0,"Fantasy, Mythology, Young Adult",2
641,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89,2007.0,"Fiction, Magical Realism, Literary Fiction",2
642,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,2005.0,"Nonfiction, Psychology, Business",2
643,Requiem for a Dream,Hubert Selby Jr.,4.11,1978.0,"Fiction, Classics, Thriller",2
644,"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,4.04,2008.0,"Fantasy, Fiction, Young Adult",2
645,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,2011.0,"Science Fiction, Fiction, Young Adult",2
646,Dandelion Wine,Ray Bradbury,4.09,1957.0,"Fiction, Classics, Science Fiction",2
647,گم شده ای در مه,سید مرتضی مصطفوی,3.81,2017.0,"Fiction, Philosophy, Spirituality",2
648,The Scarlet Pimpernel,Emmuska Orczy,4.07,1905.0,"Classics, Historical Fiction, Fiction",2
649,The Historian,Elizabeth Kostova,3.8,2005.0,"Fiction, Historical Fiction, Fantasy",2
650,"Passions in Death (In Death, #59)",J.D. Robb,4.3,2024.0,"Mystery, Crime, Romance",2
651,The Complete Stories and Poems,Edgar Allan Poe,4.4,1849.0,"Classics, Poetry, Horror",2
652,"Worm Holes (Quantum Roots, #2)",Kyle Keyes,4.34,2017.0,"Fiction, Young Adult, Adventure",2
653,The V Girl: A Coming of Age Story,Mya Robarts,3.97,2015.0,"Romance, Coming Of Age, Young Adult",2
654,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.08,1978.0,"Psychology, Nonfiction, Self Help",2
655,Hiroshima,John Hersey,4.04,1946.0,"History, Nonfiction, War",0
656,"Book of Night (Book of Night, #1)",Holly Black,3.54,2022.0,"Fantasy, Urban Fantasy, Fiction",2
657,Shakespeare's Sonnets,William Shakespeare,4.25,1609.0,"Poetry, Classics, Fiction",2
658,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,1951.0,"Fantasy, Fiction, Classics",2
659,"Angel of Vengeance (Pendergast, #22)",Douglas Preston,4.31,2024.0,"Thriller, Mystery, Fiction",2
660,"Echo Road (Mercy Kilpatrick, #9; Bree Taggert, #9)",Kendra Elliot,4.54,2024.0,"Mystery, Thriller, Fiction",2
661,"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar,4.3,2018.0,"Contemporary, Poetry, Fiction",2
662,The Goldfinch,Donna Tartt,3.96,2013.0,"Fiction, Contemporary, Literary Fiction",2
663,Carrie,Stephen        King,3.99,1974.0,"Horror, Fiction, Thriller",2
664,Dogs vs Bears,Austin    Davis,4.31,2024.0,"Novels, Fiction, Adventure",2
665,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.72,1993.0,"Fiction, Spirituality, Philosophy",2
666,The Mayor of Maxwell Street,Avery Cunningham,3.55,2024.0,"Historical Fiction, Fiction, Romance",2
667,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,4.22,1994.0,"Finance, Nonfiction, Self Help",2
668,"People in Glass Houses (Ghost Hunters, #16)",Jayne Castle,4.4,2024.0,"Fantasy, Romance, Science Fiction Fantasy",2
669,The Second Sex,Simone de Beauvoir,4.18,1949.0,"Feminism, Nonfiction, Philosophy",2
670,A Streetcar Named Desire,Tennessee Williams,3.98,1947.0,"Plays, Classics, Fiction",2
671,"Perron Manor (Haunted, #1)",Lee Mountford,4.11,2020.0,"Horror, Paranormal, Thriller",2
672,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,1954.0,"Fantasy, Fiction, Young Adult",2
673,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,4.39,1986.0,"Graphic Novels, Comics, History",0
674,The French Lieutenant’s Woman,John Fowles,3.88,1969.0,"Fiction, Classics, Historical Fiction",2
675,"Foundation (Foundation, #1)",Isaac Asimov,4.17,1951.0,"Science Fiction, Fiction, Science Fiction Fantasy",2
676,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.15,1997.0,"Fantasy, Young Adult, Fiction",2
677,All the Murmuring Bones,A.G. Slatter,3.92,2021.0,"Fantasy, Horror, Gothic",2
678,Invisible Monsters,Chuck Palahniuk,4.0,1999.0,"Fiction, Contemporary, Thriller",2
679,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.91,2003.0,"Nonfiction, Christian, Religion",2
680,A Room with a View,E.M. Forster,3.9,1908.0,"Classics, Fiction, Romance",2
681,"Fair Market Value (The Body Shop, #1)",Hailey Edwards,4.36,2024.0,"Fantasy, Urban Fantasy, Science Fiction Fantasy",2
682,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4.29,2022.0,"Fantasy, Romance, Romantasy",2
683,The Hollow Places,T. Kingfisher,3.79,2020.0,"Horror, Fantasy, Fiction",2
684,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,2012.0,"Fiction, Contemporary, Chick Lit",2
685,Redeeming Love,Francine  Rivers,4.51,1991.0,"Romance, Christian, Christian Fiction",2
686,The Ball at Versailles,Danielle Steel,4.04,2023.0,"Romance, Historical Fiction, Fiction",2
687,"The Watchers (The Watchers, #1)",A.M. Shine,3.9,2021.0,"Horror, Fantasy, Fiction",2
688,Hart's Ridge (Hart's Ridge #1),Kay Bratt,4.38,2022.0,"Mystery, Crime, Fiction",2
689,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.97,1995.0,"History, Nonfiction, Education",0
690,Factotum,Charles Bukowski,3.92,1975.0,"Fiction, Classics, Novels",2
691,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,1972.0,"Nonfiction, Memoir, Animals",0
692,The Salt Grows Heavy,Cassandra Khaw,3.56,2023.0,"Horror, Fantasy, Fiction",2
693,"The Reaping (Steinbeck and Reed, #2)",Jess Lourey,4.12,2024.0,"Thriller, Mystery, Crime",2
694,The Last Thing She Ever Did,Gregg Olsen,4.04,2018.0,"Mystery, Thriller, Fiction",2
695,Peace Like a River,Leif Enger,4.02,2001.0,"Fiction, Historical Fiction, Book Club",2
696,Morsels,Abe Moss,3.72,2024.0,"Horror, Thriller, Paranormal",2
697,The Agony and the Ecstasy,Irving Stone,4.09,1958.0,"Historical Fiction, Fiction, Art",2
698,"A MAN WHO SEEMED REAL: a story of love, lies, fear and kindness",Elizabeth Tebby Germaine,4.43,2023.0,"Drama, Novels, Contemporary",2
699,"Glow (The Plated Prisoner, #4)",Raven Kennedy,4.14,2022.0,"Romance, Romantasy, Fantasy Romance",2
700,I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.,4.5,1987.0,"Nonfiction, History, Classics",0
701,The Horse Whisperer,Nicholas Evans,3.85,1995.0,"Fiction, Romance, Animals",2
702,"Dangerous Play (Kate Green, #2)",Elise Hart Kipness,4.26,2024.0,"Fiction, Suspense, Mystery",2
703,Far From the Madding Crowd,Thomas Hardy,3.97,1874.0,"Classics, Fiction, Romance",2
704,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.87,2003.0,"Nonfiction, Writing, Language",2
705,Cackle,Rachel   Harrison,3.72,2021.0,"Horror, Fantasy, Witches",2
706,I Capture the Castle,Dodie Smith,3.99,1948.0,"Classics, Fiction, Young Adult",2
707,Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,4.21,2014.0,"History, Nonfiction, Military Fiction",0
708,Nineteen Steps,Millie Bobby Brown,3.75,2023.0,"Historical Fiction, Fiction, Romance",2
709,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.95,1939.0,"Mystery, Fiction, Classics",2
710,So Thirsty,Rachel   Harrison,3.52,2024.0,"Horror, Vampires, Fantasy",2
711,Journey's Paradox (Journey Russo FBI Mystery #6),Mary Stone,4.53,2024.0,"Mystery, Mystery Thriller, Crime",2
712,The Forgotten Palace,Alexandra Walsh,4.19,2023.0,"Historical Fiction, Fiction, Young Adult Romance",2
713,Homo Cosmicus 2: Titan: A Science Fiction Novel,Todor Bombov,4.38,2022.0,"Drama, Novels, Contemporary",2
714,Jitterbug Perfume,Tom Robbins,4.23,1984.0,"Fiction, Fantasy, Humor",2
715,"Storm Front (The Dresden Files, #1)",Jim  Butcher,3.97,2000.0,"Fantasy, Urban Fantasy, Mystery",2
716,Brainwalker,Robyn Mundell,4.31,2016.0,"Fantasy, Young Adult, Childrens",2
717,"A Lady's Guide to Fortune-Hunting (A Lady's Guide, #1)",Sophie Irwin,3.92,2022.0,"Romance, Historical Fiction, Historical Romance",2
718,A Storm of Infinite Beauty,Julianne MacLean,4.3,2023.0,"Fiction, Romance, Historical Fiction",2
719,"Blood Orange (The Dracula Duet, #1)",Karina Halle,3.81,2022.0,"Fantasy, Vampires, Romance",2
720,"Crowns of Ice (Fae of Snow & Ice, #4)",Krista Street,4.16,2023.0,"Fantasy, Magic, Science Fiction Fantasy",2
721,"Cannery Row (Cannery Row, #1)",John Steinbeck,4.06,1943.0,"Fiction, Classics, Literature",2
722,"Neuromancer (Sprawl, #1)",William Gibson,3.89,1984.0,"Science Fiction, Fiction, Cyberpunk",2
723,Infinite Jest,David Foster Wallace,4.25,1996.0,"Fiction, Classics, Literature",2
724,Exodus,Leon Uris,4.34,1958.0,"Historical Fiction, Fiction, Classics",2
725,"The Alpha's Fated Encounter (Fated to Royalty, #1)",Roxie Ray,3.93,2022.0,"Fantasy, Paranormal, Novels",2
726,"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.96,2021.0,"Dark Romance, Dark, Thriller",2
727,Dark Horizon the Witching Hour (The Children of the Gods #82),I.T. Lucas,4.49,2024.0,"Fiction, Science Fiction Fantasy, High Fantasy",2
728,Fated to the Wolf Prince (The Hunted Omegas #1),April L. Moon,3.99,2024.0,"Fantasy, Romance, Magic",2
729,"Counter Identity (Remmich/Miller, #2)",Karl Braungart,4.31,2021.0,"Drama, Contemporary, Novels",2
730,The Three Witches and The Master,Max Nowaz,4.3,2024.0,"Fiction, Novels, Adventure",2
731,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,4.42,2023.0,"Fantasy, Romance, Romantasy",2
732,Death Be Not Proud,John Gunther,3.86,1949.0,"Nonfiction, Classics, Memoir",0
733,"Falling Down (The Boy in the Iron Box, #1)",Guillermo del Toro,3.59,2024.0,"Horror, Short Stories, Fiction",2
734,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,1979.0,"Fiction, Horror, Young Adult",2
735,The Butcher of the Forest,Premee Mohamed,3.89,2024.0,"Fantasy, Horror, Novella",2
736,Black Like Me,John Howard Griffin,4.11,1961.0,"Nonfiction, History, Memoir",0
737,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,2007.0,"Fantasy, Young Adult, Vampires",2
738,The Twisted Ones,T. Kingfisher,3.64,2019.0,"Horror, Fantasy, Fiction",2
739,’Salem’s Lot,Stephen        King,4.1,1975.0,"Horror, Fiction, Vampires",2
740,"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.92,1982.0,"Fantasy, Fiction, Horror",2
741,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02,1999.0,"Fiction, Fantasy, Young Adult",2
742,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.04,2005.0,"Fantasy, Young Adult, Fiction",2
743,The Age of Innocence,Edith Wharton,3.97,1920.0,"Classics, Fiction, Historical Fiction",2
744,Brisingr (The Inheritance Cycle #3),Christopher Paolini,4.1,2008.0,"Fantasy, Young Adult, Fiction",2
745,"Stripped Bare (Kate Fox, #1)",Shannon  Baker,4.04,2016.0,"Mystery, Thriller, Fiction",2
746,Constant Companion: Your Practical Path to Real Interaction with God,Ami Loper,4.42,2024.0,"Contemporary, Novels, Drama",2
747,The Invention of Hugo Cabret,Brian Selznick,4.22,2007.0,"Historical Fiction, Fiction, Young Adult",2
748,The Seven Moons of Maali Almeida,Shehan Karunatilaka,3.91,2022.0,"Fiction, Historical Fiction, Fantasy",2
749,Ethan Frome,Edith Wharton,3.45,1911.0,"Classics, Fiction, Romance",2
750,Slewfoot: A Tale of Bewitchery,Brom,4.24,2021.0,"Horror, Fantasy, Historical Fiction",2
751,Utopia,Thomas More,3.55,1516.0,"Classics, Philosophy, Fiction",2
752,I'm Just Saying: A Guide to Maintaining Civil Discourse in an Increasingly Divided World,Milan Kordestani,4.26,2023.0,"Nonfiction, Communication, Self Help",2
753,"Wicked Saints (Something Dark and Holy, #1)",Emily A. Duncan,3.56,2019.0,"Fantasy, Young Adult, Young Adult Fantasy",2
754,The Shipping News,Annie Proulx,3.88,1993.0,"Fiction, Contemporary, Canada",2
755,The Story of Ferdinand,Munro Leaf,4.37,1936.0,"Picture Books, Childrens, Classics",2
756,"Twilight of Embers (Dragons of Ember Hollow, #1)",Tessa Hale,4.07,2024.0,"Fantasy, Reverse Harem, Dragons",2
757,The Elegance of the Hedgehog,Muriel Barbery,3.8,2006.0,"Fiction, France, Philosophy",2
758,"The Black Bird Oracle (All Souls, #5)",Deborah Harkness,4.08,2024.0,"Fantasy, Fiction, Witches",2
759,Ankle Snatcher,Grady Hendrix,3.71,2023.0,"Horror, Short Stories, Audiobook",2
760,"Skagboys (Mark Renton, #1)",Irvine Welsh,4.06,2012.0,"Fiction, Thriller, Contemporary",2
761,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.11,2008.0,"Fantasy, Young Adult, Romance",2
762,Song of Solomon,Toni Morrison,4.15,1977.0,"Fiction, Classics, Historical Fiction",2
763,Vanity Fair,William Makepeace Thackeray,3.81,1847.0,"Classics, Fiction, Historical Fiction",2
764,Lunar Park,Bret Easton Ellis,3.65,2005.0,"Fiction, Horror, Thriller",2
765,"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,4.2,2019.0,"Fantasy, Romance, Romantasy",2
766,The Swimmer,Loreth Anne White,4.14,2024.0,"Thriller, Mystery, Mystery Thriller",2
767,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95,2013.0,"Nonfiction, Business, Feminism",2
768,"Descent (The Palladium Wars, #4)",Marko Kloos,4.32,2024.0,"Science Fiction, Space, Science Fiction Fantasy",2
769,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.04,2004.0,"Romance, Chick Lit, Fiction",2
770,Scavenger Hunt,Chad Boudreaux,4.3,2023.0,"Mystery, Thriller, Drama",2
771,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.16,2012.0,"Nonfiction, Biography, Memoir",0
772,Walks Away Woman,Ki Longfellow,4.37,2013.0,"Survival, Adventure, Fiction",2
773,"Always Remember: Ben's Story (Ravenswood, #3)",Mary Balogh,4.15,2024.0,"Romance, Historical Romance, Historical",2
774,The Waste Land,T.S. Eliot,4.11,1922.0,"Poetry, Classics, Fiction",2
775,"Crossroads and the Himalayan Crystals (Crossroads, #1)",C. Toni Graham,4.33,2012.0,"Fantasy, Contemporary, Drama",2
776,The Town the World Forgot (The Town That Shouldn't Exist #1),Boris Bacic,4.19,2024.0,"Horror, Thriller, Paranormal",2
777,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.46,2017.0,"Young Adult, Fiction, Contemporary",2
778,Misery,Stephen        King,4.23,1987.0,"Horror, Fiction, Thriller",2
779,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,2009.0,"Fantasy, Young Adult, Mythology",2
780,Of Human Bondage,W. Somerset Maugham,4.15,1915.0,"Fiction, Classics, Literature",2
781,Yildun: Worldmaker of Yand,Andri E. Elia,4.39,2022.0,"Contemporary, Drama, Novels",2
782,An American Beauty,Shana Abe,4.14,2023.0,"Historical Fiction, Fiction, Romance",2
783,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.94,1995.0,"Nonfiction, Biography, Memoir",0
784,Last Tang Standing,Lauren  Ho,3.52,2020.0,"Romance, Fiction, Contemporary",2
785,"Insurgent (Divergent, #2)",Veronica Roth,3.97,2012.0,"Young Adult, Dystopia, Fantasy",2
