,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
121,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,1843.0,"Classics, Horror, Fiction",2
122,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1996.0,"Fantasy, Fiction, Epic Fantasy",2
123,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.34,2009.0,"Young Adult, Fiction, Fantasy",2
124,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,2003.0,"Fiction, Mystery, Young Adult",2
125,The Lorax,Dr. Seuss,4.35,1971.0,"Childrens, Picture Books, Fiction",2
126,The Declaration of Independence / The Constitution of the United States,Founding Fathers,4.44,1776.0,"History, Nonfiction, Politics",0
127,"Watership Down (Watership Down, #1)",Richard  Adams,4.09,1972.0,"Classics, Fiction, Fantasy",2
128,Rebecca,Daphne du Maurier,4.25,1938.0,"Fiction, Mystery, Gothic",2
129,The Bell Jar,Sylvia Plath,4.06,1963.0,"Fiction, Feminism, Mental Health",2
130,"Dune (Dune, #1)",Frank Herbert,4.28,1965.0,"Science Fiction, Fantasy, Audiobook",2
131,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,1964.0,"Fiction, Fantasy, Childrens",2
132,And Then There Were None,Agatha Christie,4.28,1939.0,"Mystery, Fiction, Thriller",2
133,The Last Lecture,Randy Pausch,4.26,2008.0,"Nonfiction, Memoir, Biography",0
134,The Lovely Bones,Alice Sebold,3.86,2002.0,"Fiction, Mystery, Young Adult",2
135,The Velveteen Rabbit,Margery Williams Bianco,4.31,1922.0,"Classics, Childrens, Fiction",2
136,The Fountainhead,Ayn Rand,3.89,1943.0,"Fiction, Classics, Philosophy",2
137,Alice in Wonderland,Jane Carruth,4.03,1865.0,"Classics, Fantasy, Fiction",2
138,The Call of the Wild,Jack London,3.91,1903.0,"Fiction, Adventure, Young Adult",2
139,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.57,1955.0,"Fantasy, Fiction, Adventure",2
140,Perfume: The Story of a Murderer,Patrick Süskind,4.04,1985.0,"Fiction, Classics, Historical Fiction",2
141,Animal Farm / 1984,George Orwell,4.3,1949.0,"Classics, Fiction, Dystopia",2
142,The Five People You Meet in Heaven,Mitch Albom,4.0,2003.0,"Fiction, Contemporary, Inspirational",2
143,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,1900.0,"Classics, Fantasy, Fiction",2
144,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,1996.0,"Nonfiction, Memoir, Biography",0
145,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.49,1954.0,"Fantasy, Fiction, Adventure",2
146,The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4.26,2006.0,"Fiction, Mystery, Thriller",2
147,Bridge to Terabithia,Katherine Paterson,4.06,1977.0,"Fiction, Young Adult, Classics",2
148,Love You Forever,Robert Munsch,4.38,1986.0,"Picture Books, Childrens, Fiction",2
149,The Road,Cormac McCarthy,3.99,2006.0,"Fiction, Science Fiction, Dystopia",2
150,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,1320.0,"Poetry, Fiction, Literature",2
151,A Prayer for Owen Meany,John Irving,4.24,1989.0,"Fiction, Classics, Contemporary",2
152,A Midsummer Night’s Dream,William Shakespeare,3.94,1595.0,"Plays, Fiction, Fantasy",2
153,The Name of the Rose,Umberto Eco,4.14,1980.0,"Fiction, Historical Fiction, Mystery",2
154,Persuasion,Jane Austen,4.15,1817.0,"Fiction, Classics, Historical Fiction",2
155,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1995.0,"Fantasy, Young Adult, Fiction",2
156,The Prophet,Kahlil Gibran,4.23,1923.0,"Poetry, Classics, Philosophy",2
158,Water for Elephants,Sara Gruen,4.11,2006.0,"Fiction, Historical Fiction, Romance",2
159,The Boy in the Striped Pajamas,John Boyne,4.16,2006.0,"Historical Fiction, Fiction, Young Adult",2
160,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,1989.0,"Historical Fiction, Fiction, Historical",2
161,How the Grinch Stole Christmas!,Dr. Seuss,4.38,1957.0,"Childrens, Picture Books, Christmas",2
162,Jonathan Livingston Seagull,Richard Bach,3.86,1970.0,"Fiction, Classics, Philosophy",2
